Time,Time Code,Country Name,Country Code,"Prevalence of obesity, female (% of female population ages 18+) [SH.STA.OB18.FE.ZS]","Prevalence of obesity, male (% of male population ages 18+) [SH.STA.OB18.MA.ZS]",Male & Female Obesity Rate
2016,YR2016,Afghanistan,AFG,7.6,3.2,5.4
2016,YR2016,Albania,ALB,21.8,21.6,21.7
2016,YR2016,Algeria,DZA,34.9,19.9,27.4
2016,YR2016,American Samoa,ASM,..,..,#VALUE!
2016,YR2016,Andorra,AND,25.3,25.9,25.6
2016,YR2016,Angola,AGO,12.1,4,8.05
2016,YR2016,Antigua and Barbuda,ATG,25.9,11.6,18.75
2016,YR2016,Argentina,ARG,29,27.3,28.15
2016,YR2016,Armenia,ARM,23,17.1,20.05
2016,YR2016,Aruba,ABW,..,..,#VALUE!
2016,YR2016,Australia,AUS,28.4,29.6,29
2016,YR2016,Austria,AUT,18.3,21.9,20.1
2016,YR2016,Azerbaijan,AZE,23.6,15.8,19.7
2016,YR2016,"Bahamas, The",BHS,38.1,24.4,31.25
2016,YR2016,Bahrain,BHR,36.8,25.5,31.15
2016,YR2016,Bangladesh,BGD,5,2.3,3.65
2016,YR2016,Barbados,BRB,31.3,14.7,23
2016,YR2016,Belarus,BLR,26.3,22.1,24.2
2016,YR2016,Belgium,BEL,21,23.1,22.05
2016,YR2016,Belize,BLZ,31.5,16.5,24
2016,YR2016,Benin,BEN,14.2,4.7,9.45
2016,YR2016,Bermuda,BMU,..,..,#VALUE!
2016,YR2016,Bhutan,BTN,8.5,4.7,6.6
2016,YR2016,Bolivia,BOL,25.6,14.5,20.05
2016,YR2016,Bosnia and Herzegovina,BIH,18.4,17.1,17.75
2016,YR2016,Botswana,BWA,29.3,8.1,18.7
2016,YR2016,Brazil,BRA,25.4,18.5,21.95
2016,YR2016,British Virgin Islands,VGB,..,..,#VALUE!
2016,YR2016,Brunei Darussalam,BRN,15.7,12.5,14.1
2016,YR2016,Bulgaria,BGR,24.3,25.5,24.9
2016,YR2016,Burkina Faso,BFA,8.1,2.6,5.35
2016,YR2016,Burundi,BDI,8.6,2.1,5.35
2016,YR2016,Cabo Verde,CPV,16.3,6.9,11.6
2016,YR2016,Cambodia,KHM,4.8,2.7,3.75
2016,YR2016,Cameroon,CMR,16.4,6.1,11.25
2016,YR2016,Canada,CAN,29.3,29.5,29.4
2016,YR2016,Cayman Islands,CYM,..,..,#VALUE!
2016,YR2016,Central African Republic,CAF,10.9,3.7,7.3
2016,YR2016,Chad,TCD,8.9,3.1,6
2016,YR2016,Channel Islands,CHI,..,..,#VALUE!
2016,YR2016,Chile,CHL,31,24.9,27.95
2016,YR2016,China,CHN,6.5,5.9,6.2
2016,YR2016,Colombia,COL,26.6,17.6,22.1
2016,YR2016,Comoros,COM,12.2,3.3,7.75
2016,YR2016,"Congo, Dem. Rep.",COD,9.7,3.6,6.65
2016,YR2016,"Congo, Rep.",COG,13.5,5.5,9.5
2016,YR2016,Costa Rica,CRI,30.4,21.1,25.75
2016,YR2016,Cote d'Ivoire,CIV,15.2,5.8,10.5
2016,YR2016,Croatia,HRV,24.5,24.1,24.3
2016,YR2016,Cuba,CUB,30.3,18.9,24.6
2016,YR2016,Curacao,CUW,..,..,#VALUE!
2016,YR2016,Cyprus,CYP,21.6,21.9,21.75
2016,YR2016,Czechia,CZE,25.4,26.4,25.9
2016,YR2016,Denmark,DNK,17,22.3,19.65
2016,YR2016,Djibouti,DJI,18.3,8.6,13.45
2016,YR2016,Dominica,DMA,35.6,19.9,27.75
2016,YR2016,Dominican Republic,DOM,34.1,21,27.55
2016,YR2016,Ecuador,ECU,24.7,14.9,19.8
2016,YR2016,"Egypt, Arab Rep.",EGY,41.1,22.7,31.9
2016,YR2016,El Salvador,SLV,28.9,18.9,23.9
2016,YR2016,Equatorial Guinea,GNQ,12.6,3.8,8.2
2016,YR2016,Eritrea,ERI,7.6,2,4.8
2016,YR2016,Estonia,EST,21.8,20.3,21.05
2016,YR2016,Eswatini,SWZ,26.2,5.4,15.8
2016,YR2016,Ethiopia,ETH,6.9,1.9,4.4
2016,YR2016,Faroe Islands,FRO,..,..,#VALUE!
2016,YR2016,Fiji,FJI,35.3,25.1,30.2
2016,YR2016,Finland,FIN,20.6,23.7,22.15
2016,YR2016,France,FRA,21.1,22,21.55
2016,YR2016,French Polynesia,PYF,..,..,#VALUE!
2016,YR2016,Gabon,GAB,20.3,9.6,14.95
2016,YR2016,"Gambia, The",GMB,14.8,5.6,10.2
2016,YR2016,Georgia,GEO,23.8,19.2,21.5
2016,YR2016,Germany,DEU,20.4,24.2,22.3
2016,YR2016,Ghana,GHA,16.6,4.5,10.55
2016,YR2016,Gibraltar,GIB,..,..,#VALUE!
2016,YR2016,Greece,GRC,25.4,24.2,24.8
2016,YR2016,Greenland,GRL,..,..,#VALUE!
2016,YR2016,Grenada,GRD,29,13.3,21.15
2016,YR2016,Guam,GUM,..,..,#VALUE!
2016,YR2016,Guatemala,GTM,26.4,15.1,20.75
2016,YR2016,Guinea,GIN,11.5,3.7,7.6
2016,YR2016,Guinea-Bissau,GNB,13.7,5,9.35
2016,YR2016,Guyana,GUY,27.1,12.7,19.9
2016,YR2016,Haiti,HTI,26.9,17.9,22.4
2016,YR2016,Honduras,HND,26.9,15.6,21.25
2016,YR2016,"Hong Kong SAR, China",HKG,..,..,#VALUE!
2016,YR2016,Hungary,HUN,24.6,28.2,26.4
2016,YR2016,Iceland,ISL,19.4,24.2,21.8
2016,YR2016,India,IND,5.1,2.7,3.9
2016,YR2016,Indonesia,IDN,8.9,4.8,6.85
2016,YR2016,"Iran, Islamic Rep.",IRN,32.2,19.3,25.75
2016,YR2016,Iraq,IRQ,37,23.4,30.2
2016,YR2016,Ireland,IRL,25.5,25.1,25.3
2016,YR2016,Isle of Man,IMN,..,..,#VALUE!
2016,YR2016,Israel,ISR,26.2,25.9,26.05
2016,YR2016,Italy,ITA,19.5,20.1,19.8
2016,YR2016,Jamaica,JAM,33.4,15.3,24.35
2016,YR2016,Japan,JPN,3.7,4.8,4.25
2016,YR2016,Jordan,JOR,43.1,28.2,35.65
2016,YR2016,Kazakhstan,KAZ,22.7,18.9,20.8
2016,YR2016,Kenya,KEN,11.1,2.8,6.95
2016,YR2016,Kiribati,KIR,50.4,41.6,46
2016,YR2016,"Korea, Dem. People's Rep.",PRK,7.3,6.1,6.7
2016,YR2016,"Korea, Rep.",KOR,4.8,4.4,4.6
2016,YR2016,Kosovo,XKX,..,..,#VALUE!
2016,YR2016,Kuwait,KWT,45.6,33.3,39.45
2016,YR2016,Kyrgyz Republic,KGZ,18.6,14,16.3
2016,YR2016,Lao PDR,LAO,6.7,3.7,5.2
2016,YR2016,Latvia,LVA,25.1,21.6,23.35
2016,YR2016,Lebanon,LBN,37,27.4,32.2
2016,YR2016,Lesotho,LSO,26.7,4.6,15.65
2016,YR2016,Liberia,LBR,14.2,5.5,9.85
2016,YR2016,Libya,LBY,39.6,25,32.3
2016,YR2016,Liechtenstein,LIE,..,..,#VALUE!
2016,YR2016,Lithuania,LTU,27.8,24.2,26
2016,YR2016,Luxembourg,LUX,20.7,24.5,22.6
2016,YR2016,"Macao SAR, China",MAC,..,..,#VALUE!
2016,YR2016,Madagascar,MDG,7.5,3,5.25
2016,YR2016,Malawi,MWI,9.1,2.2,5.65
2016,YR2016,Malaysia,MYS,17.9,13,15.45
2016,YR2016,Maldives,MDV,11.4,5.8,8.6
2016,YR2016,Mali,MLI,12.4,4.6,8.5
2016,YR2016,Malta,MLT,28.5,29.2,28.85
2016,YR2016,Marshall Islands,MHL,57.3,48.4,52.85
2016,YR2016,Mauritania,MRT,18.5,6.6,12.55
2016,YR2016,Mauritius,MUS,15.7,5.6,10.65
2016,YR2016,Mexico,MEX,32.8,24.3,28.55
2016,YR2016,"Micronesia, Fed. Sts.",FSM,51.5,40.1,45.8
2016,YR2016,Moldova,MDA,21.1,16.2,18.65
2016,YR2016,Monaco,MCO,..,..,#VALUE!
2016,YR2016,Mongolia,MNG,23.2,17.5,20.35
2016,YR2016,Montenegro,MNE,23.1,23.3,23.2
2016,YR2016,Morocco,MAR,32.2,19.4,25.8
2016,YR2016,Mozambique,MOZ,10.5,3.3,6.9
2016,YR2016,Myanmar,MMR,7.3,4,5.65
2016,YR2016,Namibia,NAM,25.4,7.5,16.45
2016,YR2016,Nauru,NRU,63.3,58.7,61
2016,YR2016,Nepal,NPL,5.4,2.7,4.05
2016,YR2016,Netherlands,NLD,20,20.8,20.4
