Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP (current US$) [NY.GDP.MKTP.CD],Male & Female Obesity Rate,Region,,,,
2016,YR2016,Afghanistan,AFG,61.37234497,62.3,62.646,18116572395,5.4,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Albania,ALB,275.4367676,7.6,78.643,11988668785,21.7,Europe & Central Asia,,,,
2016,YR2016,Algeria,DZA,265.5343933,21.6,75.31,1.80764E+11,27.4,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,American Samoa,ASM,..,..,72.64,671000000,..,East Asia & Pacific,,,,
2016,YR2016,Andorra,AND,2769.152832,3.2,84.489,2896610480,25.6,Europe & Central Asia,,,,
2016,YR2016,Angola,AGO,94.01481628,48.9,61.619,52761617226,8.05,Sub-Saharan Africa,,,,
2016,YR2016,Antigua and Barbuda,ATG,817.888916,8.4,76.968,1489603704,18.75,Latin America & Caribbean,,,,
2016,YR2016,Argentina,ARG,1251.656128,9.7,76.105,5.57532E+11,28.15,Latin America & Caribbean,,,,
2016,YR2016,Armenia,ARM,359.5822754,12.2,74.86829268,10546136236,20.05,Europe & Central Asia,,,,
2016,YR2016,Aruba,ABW,..,..,75.54,2983635196,..,Latin America & Caribbean,,,,
2016,YR2016,Australia,AUS,5423.82666,3.2,82.44878049,1.20684E+12,29,East Asia & Pacific,,,,
2016,YR2016,Austria,AUT,4709.875977,3,81.64146341,3.93687E+11,20.1,Europe & Central Asia,,,,
2016,YR2016,Azerbaijan,AZE,169.6959686,19.8,72.568,37866996883,19.7,Europe & Central Asia,,,,
2016,YR2016,"Bahamas, The",BHS,1729.714355,12.2,74.042,11880900000,31.25,Latin America & Caribbean,,,,
2016,YR2016,Bahrain,BHR,1095.925415,6.3,80.407,33884680851,31.15,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Bangladesh,BGD,39.30647659,28.6,71.075,2.65225E+11,3.65,South Asia,,,,
2016,YR2016,Barbados,BRB,1181.142578,11.5,76.168,5330761500,23,Latin America & Caribbean,,,,
2016,YR2016,Belarus,BLR,296.9472046,2.9,73.82682927,47723545321,24.2,Europe & Central Asia,,,,
